metric,count,avg,min,max,p50,p90,p95,p99
http_reqs,9908,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,9908,101.2674,1.7948,1847.7927,46.2705,276.3484,392.6581,600.8364
http_req_blocked,9908,0.0275,0,56.4221,0.0000,0.0000,0.0000,0.5075
http_req_connecting,9908,0.0162,0,8.7019,0.0000,0.0000,0.0000,0.0000
http_req_tls_handshaking,9908,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,9908,0.0226,0,18.7405,0.0000,0.0000,0.0000,0.9977
http_req_waiting,9908,101.1257,1.7948,1847.7927,46.1344,276.0909,392.5519,600.8364
http_req_receiving,9908,0.1190,0,12.5162,0.0000,0.5101,0.5461,1.5128
http_req_failed,9908,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
checks,9908,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
data_sent,9908,101.5310,76,105,105.0000,105.0000,105.0000,105.0000
data_received,9908,1185.6544,1183,1237,1185.0000,1189.0000,1189.0000,1193.0000
db_query_success_rate,9907,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
vus,121,49.6694,10,50,50.0000,50.0000,50.0000,50.0000
vus_max,121,50.0000,50,50,50.0000,50.0000,50.0000,50.0000
iteration_duration,9907,606.6638,502.2301,2348.8519,552.2000,783.0140,902.6275,1131.7888
iterations,9907,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
