metric,count,avg,min,max,p50,p90,p95,p99
http_reqs,5739,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,5739,44.8835,0.5069,915.2017,13.9193,115.6267,199.0680,419.1264
http_req_blocked,5739,0.2610,0,36.3588,0.0000,0.0000,0.0000,1.0092
http_req_connecting,5739,0.0960,0,21.9958,0.0000,0.0000,0.0000,0.0000
http_req_tls_handshaking,5739,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,5739,0.0461,0,7.8946,0.0000,0.0000,0.0000,1.0023
http_req_waiting,5739,44.7294,0.5069,915.2017,13.8619,115.5607,198.7955,418.5244
http_req_receiving,5739,0.1080,0,10.3897,0.0000,0.5086,0.5442,1.0527
http_req_failed,5739,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
checks,9167,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
graceful_degradation_rate,5739,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
vus,121,49.6281,5,50,50.0000,50.0000,50.0000,50.0000
vus_max,121,50.0000,50,50,50.0000,50.0000,50.0000,50.0000
data_sent,5739,88.5612,76,105,81.0000,105.0000,105.0000,105.0000
data_received,5739,1206.8052,1183,1251,1187.0000,1241.0000,1243.0000,1245.0000
iteration_duration,5739,1049.9608,1001.33,1915.4916,1018.6681,1123.3957,1209.9117,1424.4517
iterations,5739,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
