metric,count,avg,min,max,p50,p90,p95,p99
http_reqs,5586,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,5586,72.4408,1.2824,615.7017,37.3765,202.2764,268.8859,357.2584
http_req_blocked,5586,0.2480,0,52.2236,0.0000,0.0000,0.0000,1.0110
http_req_connecting,5586,0.0573,0,17.7854,0.0000,0.0000,0.0000,0.0000
http_req_tls_handshaking,5586,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,5586,0.1229,0,126.6094,0.0000,0.0000,0.0000,1.0108
http_req_waiting,5586,72.0025,1.2824,615.7017,37.1002,200.6904,267.9001,356.8882
http_req_receiving,5586,0.3154,0,158.6888,0.0000,0.5109,0.8078,1.9993
http_req_failed,5586,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
checks,5586,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
payment_success_rate,5586,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
vus,121,49.7025,14,50,50.0000,50.0000,50.0000,50.0000
vus_max,121,50.0000,50,50,50.0000,50.0000,50.0000,50.0000
data_sent,5586,195.8351,194,197,196.0000,196.0000,197.0000,197.0000
data_received,5586,1153.0000,1153,1153,1153.0000,1153.0000,1153.0000,1153.0000
iteration_duration,5586,1079.0561,1001.6953,1740.629,1045.4578,1213.9112,1279.9993,1385.8523
iterations,5586,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
