metric,count,avg,min,max,p50,p90,p95,p99
http_reqs,11346,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,11346,28.5185,0.5142,557.784,10.6166,76.5229,113.4145,210.8823
http_req_blocked,11346,0.0803,0,19.0707,0.0000,0.0000,0.0000,0.5073
http_req_connecting,11346,0.0439,0,14.9311,0.0000,0.0000,0.0000,0.0000
http_req_tls_handshaking,11346,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,11346,0.0307,0,16.6556,0.0000,0.0000,0.0000,1.0002
http_req_waiting,11346,28.3322,0.5084,557.2755,10.5326,76.3394,112.4325,210.8823
http_req_receiving,11346,0.1556,0,116.2832,0.0000,0.5091,0.5445,1.0254
http_req_failed,11346,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
security_checks_passed,5673,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
vus,121,49.6446,7,50,50.0000,50.0000,50.0000,50.0000
vus_max,121,50.0000,50,50,50.0000,50.0000,50.0000,50.0000
data_sent,5673,226.8459,223,230,229.0000,230.0000,230.0000,230.0000
data_received,5673,2273.6286,2271,2283,2273.0000,2277.0000,2277.0000,2279.0000
iteration_duration,5673,1061.6498,1002.9842,1600.7986,1028.9652,1163.5311,1237.7854,1361.7709
iterations,5673,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
