metric,count,avg,min,max,p50,p90,p95,p99
vus,320,94.7000,0,100,100.0000,100.0000,100.0000,100.0000
vus_max,320,99.5531,44,100,100.0000,100.0000,100.0000,100.0000
http_reqs,5739,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,11476,2255.9400,1.5446,32254.3282,222.6987,10315.9898,13174.6911,18618.4393
http_req_blocked,5739,0.7762,0,210.0118,0.0000,0.0000,0.0000,27.6448
http_req_connecting,5739,0.3486,0,52.5571,0.0000,0.0000,0.0000,15.7176
http_req_tls_handshaking,5739,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,5739,15.0286,0,2851.8454,0.0000,0.0000,0.6074,38.5143
http_req_waiting,5739,2239.4939,1.5446,32253.8164,221.3290,10315.9898,13133.0467,18602.3521
http_req_receiving,5739,1.0300,0,95.8115,0.0000,0.9994,3.1643,27.1986
http_req_failed,5739,0.4213,0,1,0.0000,1.0000,1.0000,1.0000
checks,8054,0.9704,0,1,1.0000,1.0000,1.0000,1.0000
data_sent,5739,167.9115,76,658,109.0000,258.0000,277.0000,600.0000
data_received,5739,1369.5145,0,214390,1236.0000,2285.0000,2285.0000,2285.0000
active_vus,11474,0.0000,-1,1,1.0000,1.0000,1.0000,1.0000
http_req_success_rate,5737,0.9585,0,1,1.0000,1.0000,1.0000,1.0000
order_success_rate,302,0.8179,0,1,1.0000,1.0000,1.0000,1.0000
payment_success_rate,288,0.8333,0,1,1.0000,1.0000,1.0000,1.0000
iteration_duration,5737,5288.0148,1002.4656,35781.3463,4046.4742,13465.9226,16727.2152,22410.5421
iterations,5737,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
auth_success_rate,1725,0.9774,0,1,1.0000,1.0000,1.0000,1.0000
errors_total,238,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
