metric,count,avg,min,max,p50,p90,p95,p99
http_reqs,5585,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
http_req_duration,5585,72.6627,0.5239,550.8758,40.2159,203.3629,270.0497,348.7026
http_req_blocked,5585,0.3619,0,52.4356,0.0000,0.0000,0.0000,1.5120
http_req_connecting,5585,0.1679,0,38.3708,0.0000,0.0000,0.0000,0.0000
http_req_tls_handshaking,5585,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
http_req_sending,5585,0.0463,0,28.7487,0.0000,0.0000,0.0000,1.0019
http_req_waiting,5585,72.4933,0.5204,550.8758,39.9737,203.1786,269.6790,348.4931
http_req_receiving,5585,0.1231,0,16.2754,0.0000,0.5097,0.6086,1.5196
http_req_failed,5585,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
checks,5585,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
ws_connection_success_rate,5585,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
vus,121,49.6281,5,50,50.0000,50.0000,50.0000,50.0000
vus_max,121,50.0000,50,50,50.0000,50.0000,50.0000,50.0000
data_sent,5585,76.0000,76,76,76.0000,76.0000,76.0000,76.0000
data_received,5585,1239.5522,1237,1251,1239.0000,1243.0000,1243.0000,1245.0000
iteration_duration,5585,1079.1454,1000.9672,1605.7018,1046.2628,1214.3614,1280.7720,1375.1631
iterations,5585,1.0000,1,1,1.0000,1.0000,1.0000,1.0000
