"Category","Files","LOC","Percent"
"node_modules","153401","26881764","97.59%"
"Configs","75","389021","1.41%"
"Backend","836","96326","0.35%"
"Mobile (Customer)","100","53207","0.19%"
"Web (Customer)","95","30405","0.11%"
"Documentation","81","22813","0.08%"
"Tests","141","16297","0.06%"
"Mobile (Delivery)","42","15148","0.05%"
"Infrastructure","90","11158","0.04%"
"Shared Packages","178","7929","0.03%"
"Dashboard (Admin)","37","6060","0.02%"
"Launcher (Electron)","58","4736","0.02%"
"Dashboard (Restaurant)","32","4320","0.02%"
"Source Code","24","2942","0.01%"
"Other","26","885","0.00%"
"Tools","5","673","0.00%"
"Styles","4","450","0.00%"
"CI/CD","3","274","0.00%"

"File Type","Files","LOC","Percent"
".js","82806","17957076","65.19%"
".ts","41852","4804388","17.44%"
".json","7740","1849365","6.71%"
".md","5427","883529","3.21%"
".cpp","2003","367651","1.33%"
".h","4422","346887","1.26%"
".mjs","2535","294600","1.07%"
".kt","2758","271856","0.99%"
".cjs","992","247273","0.90%"
".java","1041","212491","0.77%"
".txt","673","93819","0.34%"
".tsx","428","52030","0.19%"
".py","60","38151","0.14%"
".swift","327","36194","0.13%"
".lock","19","14285","0.05%"
".xml","878","14083","0.05%"
".rb","66","13052","0.05%"
".css","59","7397","0.03%"
".ps1","247","7395","0.03%"
".sh","102","6914","0.03%"
".yml","369","6789","0.02%"
".cmd","242","4116","0.01%"
".c","13","3120","0.01%"
".jsx","1","3023","0.01%"
".yaml","27","1887","0.01%"
".sql","6","1327","0.00%"
".proto","18","1315","0.00%"
"(no-ext)","38","1261","0.00%"
".plist","15","596","0.00%"
".bat","6","484","0.00%"
".toml","6","422","0.00%"
".conf","13","340","0.00%"
".csv","5","294","0.00%"
".go","1","277","0.00%"
".properties","27","269","0.00%"
".cs","1","250","0.00%"
".php","1","156","0.00%"
".graphql","1","24","0.00%"
".config","3","22","0.00%"

"Top Directory","Files","LOC","Percent"
"node_modules","111699","15030677","54.57%"
"apps","32428","6736337","24.46%"
"packages","5961","3353264","12.17%"
".kilo","2452","999950","3.63%"
".kilocode","2451","999815","3.63%"
"package-lock.json","1","39945","0.15%"
".tmp_fresh.json","1","15227","0.06%"
".tmp_full.json","1","15227","0.06%"
".tmp_state.json","1","15227","0.06%"
".tmp_baseline.json","1","14305","0.05%"
".localreactdoctor.json","1","13797","0.05%"
"react-doctor-current.json","1","13797","0.05%"
".tmp_button_check.txt","1","13565","0.05%"
".tmp_step2.json","1","13549","0.05%"
".tmp_latest.json","1","13045","0.05%"
"_react_doctor_report.json","1","13045","0.05%"
"_current_report.json","1","10509","0.04%"
"_final_report.json","1","10509","0.04%"
"_baseline.json","1","10389","0.04%"
"_fresh_check.json","1","10389","0.04%"
